Order ID,Date,Product Name,Category,Quantity,Unit Price (₦),Total Revenue (₦),Sales Channel,Payment Method
ORD050,22/03/2026,Oud Royale,Unisex,5,8000,40000,WhatsApp,Transfer
ORD051,20/03/2026,Vanilla Bliss,Women,5,10000,50000,Instagram,Transfer
ORD052,13/02/2026,Citrus Fresh,Unisex,2,18000,36000,In-person,Transfer
ORD053,03/07/2026,Midnight Musk,Men,5,12000,60000,WhatsApp,POS
ORD054,29/01/2026,Citrus Fresh,Unisex,4,18000,72000,In-person,Transfer
ORD055,,Vanilla Bliss,Women,2,10000,20000,In-person,POS
ORD056,21/01/2026,Citrus Fresh,Unisex,2,18000,36000,Instagram,Transfer
ORD057,02/08/2026,Rose Elixir,Women,4,15000,60000,In-person,POS
ORD058,28/03/2026,Vanilla Bliss,Women,3,10000,30000,WhatsApp,Cash
ORD059,23/03/2026,Citrus Fresh,Unisex,1,18000,18000,In-person,Transfer
ORD060,13/02/2026,Rose Elixir,Women,5,15000,75000,Instagram,Cash
ORD061,18/03/2026,Midnight Musk,Men,1,12000,12000,WhatsApp,Transfer
ORD062,01/06/2026,Oud Royale,Unisex,5,8000,40000,WhatsApp,POS
ORD063,01/09/2026,Amber Gold,Men,3,20000,60000,WhatsApp,Transfer
ORD064,27/01/2026,Vanilla Bliss,Women,4,10000,40000,WhatsApp,Transfer
ORD065,19/03/2026,Midnight Musk,Men,3,12000,36000,WhatsApp,Cash
ORD066,,Vanilla Bliss,Women,5,10000,50000,In-person,Transfer
ORD067,13/01/2026,Rose Elixir,Women,1,15000,15000,Instagram,POS
ORD068,14/01/2026,Amber Gold,Men,2,20000,40000,WhatsApp,POS
ORD069,02/03/2026,Oud Royale,Unisex,1,8000,8000,In-person,Transfer
ORD070,02/09/2026,Midnight Musk,Men,5,12000,60000,In-person,POS
ORD071,14/03/2026,Citrus Fresh,Unisex,5,18000,90000,In-person,Transfer
ORD072,16/01/2026,Midnight Musk,Men,1,12000,12000,Instagram,Transfer
ORD073,21/03/2026,Midnight Musk,Men,1,12000,12000,In-person,Cash
ORD074,23/03/2026,Rose Elixir,Women,4,15000,60000,Instagram,Cash
ORD075,26/02/2026,Citrus Fresh,Unisex,2,18000,36000,In-person,POS
ORD076,01/06/2026,Oud Royale,Unisex,5,8000,40000,Instagram,Cash
ORD077,30/03/2026,Vanilla Bliss,Women,2,10000,20000,Instagram,Transfer
ORD078,15/03/2026,Citrus Fresh,Unisex,4,18000,72000,WhatsApp,Transfer
ORD079,19/01/2026,Midnight Musk,Men,4,12000,48000,In-person,Transfer
ORD080,20/02/2026,Midnight Musk,Men,5,12000,60000,WhatsApp,Transfer
ORD081,01/09/2026,Citrus Fresh,Unisex,1,18000,18000,Instagram,Transfer
ORD082,02/07/2026,Amber Gold,Men,1,20000,20000,Instagram,Transfer
ORD083,26/03/2026,Vanilla Bliss,Women,3,10000,30000,Instagram,Cash
ORD084,28/01/2026,Amber Gold,Men,5,20000,100000,Instagram,Cash
ORD085,19/01/2026,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,POS
ORD086,01/05/2026,Rose Elixir,Women,3,15000,45000,Instagram,Transfer
ORD087,03/03/2026,Rose Elixir,Women,3,15000,45000,Instagram,POS
ORD088,16/03/2026,Rose Elixir,Women,4,15000,60000,WhatsApp,Cash
ORD089,03/08/2026,Rose Elixir,Women,4,15000,60000,WhatsApp,Transfer
ORD090,13/03/2026,Amber Gold,Men,1,20000,20000,Instagram,Cash
ORD091,03/02/2026,Oud Royale,Unisex,2,8000,16000,WhatsApp,Transfer
ORD092,17/03/2026,Vanilla Bliss,Women,4,10000,40000,Instagram,POS
ORD093,19/03/2026,Rose Elixir,Women,2,15000,30000,WhatsApp,Transfer
ORD094,02/07/2026,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,Cash
ORD095,19/02/2026,Oud Royale,Unisex,2,8000,16000,In-person,Cash
ORD096,31/01/2026,Citrus Fresh,Unisex,4,18000,72000,In-person,Cash
ORD097,25/02/2026,Vanilla Bliss,Women,1,10000,10000,In-person,Transfer
ORD098,03/08/2026,Vanilla Bliss,Women,1,10000,10000,In-person,Transfer
ORD099,02/08/2026,Rose Elixir,Women,3,15000,45000,In-person,POS
ORD100,17/01/2026,Vanilla Bliss,Women,4,10000,40000,WhatsApp,Cash
ORD101,22/01/2026,Oud Royale,Unisex,1,8000,8000,Instagram,Cash
ORD102,13/02/2026,Amber Gold,Men,5,20000,100000,Instagram,POS
ORD103,01/08/2026,Rose Elixir,Women,5,15000,75000,Instagram,POS
ORD104,13/03/2026,Oud Royale,Unisex,2,8000,16000,In-person,POS
ORD105,03/09/2026,Amber Gold,Men,2,20000,40000,In-person,Cash
ORD106,17/01/2026,Rose Elixir,Women,2,15000,30000,In-person,Transfer
ORD107,22/01/2026,Amber Gold,Men,1,20000,20000,WhatsApp,POS
ORD108,,Vanilla Bliss,Women,4,10000,40000,Instagram,Cash
ORD109,01/05/2026,Amber Gold,Men,5,20000,100000,WhatsApp,Transfer
ORD110,23/01/2026,Oud Royale,Unisex,4,8000,32000,WhatsApp,POS
ORD111,02/04/2026,Oud Royale,Unisex,4,8000,32000,WhatsApp,Cash
ORD112,03/06/2026,Oud Royale,Unisex,4,8000,32000,Instagram,POS
ORD113,27/02/2026,Oud Royale,Unisex,5,8000,40000,In-person,POS
ORD114,21/03/2026,Midnight Musk,Men,4,12000,48000,WhatsApp,Cash
ORD115,01/05/2026,Midnight Musk,Men,5,12000,60000,Instagram,Transfer
ORD116,20/03/2026,Amber Gold,Men,2,20000,40000,Instagram,POS
ORD117,22/02/2026,Citrus Fresh,Unisex,5,18000,90000,Instagram,Transfer
ORD118,17/02/2026,Midnight Musk,Men,4,12000,48000,WhatsApp,POS
ORD119,,Rose Elixir,Women,4,15000,60000,Instagram,Transfer
ORD120,,Oud Royale,Unisex,1,8000,8000,WhatsApp,Transfer
ORD121,19/01/2026,Rose Elixir,Women,3,15000,45000,In-person,POS
ORD122,25/01/2026,Rose Elixir,Women,4,15000,60000,Instagram,POS
ORD123,02/07/2026,Amber Gold,Men,5,20000,100000,In-person,Transfer
ORD124,25/01/2026,Amber Gold,Men,2,20000,40000,Instagram,POS
ORD125,13/03/2026,Citrus Fresh,Unisex,1,18000,18000,In-person,Cash
ORD126,19/01/2026,Oud Royale,Unisex,1,8000,8000,WhatsApp,Cash
ORD127,,Amber Gold,Men,4,20000,80000,In-person,Cash
ORD128,26/02/2026,Citrus Fresh,Unisex,1,18000,18000,WhatsApp,Cash
ORD129,16/02/2026,Rose Elixir,Women,4,15000,60000,In-person,Cash
ORD130,24/01/2026,Midnight Musk,Men,2,12000,24000,Instagram,POS
ORD131,02/07/2026,Rose Elixir,Women,2,15000,30000,In-person,Cash
ORD132,02/05/2026,Vanilla Bliss,Women,5,10000,50000,In-person,Cash
ORD133,03/09/2026,Oud Royale,Unisex,3,8000,24000,In-person,POS
ORD134,18/01/2026,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,Transfer
ORD135,,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,POS
ORD136,,Vanilla Bliss,Women,4,10000,40000,WhatsApp,POS
ORD137,25/03/2026,Citrus Fresh,Unisex,3,18000,54000,In-person,POS
ORD138,16/01/2026,Vanilla Bliss,Women,5,10000,50000,Instagram,Transfer
ORD139,19/03/2026,Oud Royale,Unisex,1,8000,8000,In-person,POS
ORD140,21/01/2026,Amber Gold,Men,3,20000,60000,In-person,POS
ORD141,01/04/2026,Vanilla Bliss,Women,2,10000,20000,In-person,POS
ORD142,20/02/2026,Citrus Fresh,Unisex,4,18000,72000,WhatsApp,POS
ORD143,31/01/2026,Midnight Musk,Men,2,12000,24000,In-person,POS
ORD144,17/01/2026,Citrus Fresh,Unisex,1,18000,18000,In-person,Transfer
ORD145,03/06/2026,Vanilla Bliss,Women,3,10000,30000,In-person,POS
ORD146,30/03/2026,Midnight Musk,Men,2,12000,24000,Instagram,POS
ORD147,15/03/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,Transfer
ORD148,,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,Cash
ORD149,,Oud Royale,Unisex,2,8000,16000,In-person,Transfer
ORD150,03/03/2026,Rose Elixir,Women,1,15000,15000,WhatsApp,Transfer
ORD151,20/01/2026,Vanilla Bliss,Women,1,10000,10000,In-person,Cash
ORD152,,Vanilla Bliss,Women,2,10000,20000,Instagram,Cash
ORD153,19/03/2026,Oud Royale,Unisex,4,8000,32000,In-person,POS
ORD154,01/07/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,POS
ORD155,15/01/2026,Oud Royale,Unisex,3,8000,24000,In-person,POS
ORD156,,Vanilla Bliss,Women,2,10000,20000,In-person,POS
ORD157,20/03/2026,Amber Gold,Men,4,20000,80000,WhatsApp,POS
ORD158,13/01/2026,Vanilla Bliss,Women,2,10000,20000,In-person,Cash
ORD159,13/03/2026,Rose Elixir,Women,5,15000,75000,WhatsApp,Transfer
ORD160,01/08/2026,Rose Elixir,Women,2,15000,30000,In-person,Cash
ORD161,18/03/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,Cash
ORD162,18/02/2026,Rose Elixir,Women,2,15000,30000,WhatsApp,Cash
ORD163,17/01/2026,Vanilla Bliss,Women,2,10000,20000,In-person,POS
ORD164,03/06/2026,Citrus Fresh,Unisex,4,18000,72000,In-person,POS
ORD165,14/02/2026,Rose Elixir,Women,3,15000,45000,Instagram,Cash
ORD166,,Citrus Fresh,Unisex,1,18000,18000,In-person,POS
ORD167,14/02/2026,Citrus Fresh,Unisex,1,18000,18000,In-person,Cash
ORD168,18/03/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,Transfer
ORD169,03/08/2026,Oud Royale,Unisex,5,8000,40000,In-person,Transfer
ORD170,01/05/2026,Vanilla Bliss,Women,5,10000,50000,WhatsApp,POS
ORD171,29/03/2026,Vanilla Bliss,Women,2,10000,20000,In-person,Cash
ORD172,19/01/2026,Oud Royale,Unisex,3,8000,24000,In-person,Cash
ORD173,23/01/2026,Citrus Fresh,Unisex,2,18000,36000,In-person,Transfer
ORD174,29/01/2026,Amber Gold,Men,2,20000,40000,WhatsApp,Transfer
ORD175,27/02/2026,Midnight Musk,Men,1,12000,12000,Instagram,Transfer
ORD176,25/01/2026,Rose Elixir,Women,2,15000,30000,In-person,Cash
ORD177,02/01/2026,Rose Elixir,Women,2,15000,30000,Instagram,Cash
ORD178,31/03/2026,Oud Royale,Unisex,2,8000,16000,Instagram,Transfer
ORD179,17/01/2026,Midnight Musk,Men,3,12000,36000,WhatsApp,Transfer
ORD180,03/07/2026,Rose Elixir,Women,5,15000,75000,WhatsApp,Transfer
ORD181,01/07/2026,Rose Elixir,Women,1,15000,15000,In-person,Transfer
ORD182,,Amber Gold,Men,4,20000,80000,WhatsApp,POS
ORD183,21/02/2026,Vanilla Bliss,Women,4,10000,40000,WhatsApp,Cash
ORD184,02/02/2026,Amber Gold,Men,2,20000,40000,Instagram,POS
ORD185,03/04/2026,Vanilla Bliss,Women,3,10000,30000,Instagram,POS
ORD186,31/03/2026,Oud Royale,Unisex,3,8000,24000,Instagram,Cash
ORD187,23/02/2026,Amber Gold,Men,4,20000,80000,Instagram,Transfer
ORD188,26/02/2026,Oud Royale,Unisex,4,8000,32000,In-person,Transfer
ORD189,26/03/2026,Rose Elixir,Women,3,15000,45000,Instagram,POS
ORD190,13/03/2026,Midnight Musk,Men,3,12000,36000,In-person,Cash
ORD191,29/01/2026,Oud Royale,Unisex,5,8000,40000,Instagram,POS
ORD192,02/09/2026,Vanilla Bliss,Women,3,10000,30000,WhatsApp,POS
ORD193,03/04/2026,Amber Gold,Men,3,20000,60000,WhatsApp,POS
ORD194,28/01/2026,Amber Gold,Men,4,20000,80000,Instagram,POS
ORD195,02/01/2026,Citrus Fresh,Unisex,3,18000,54000,WhatsApp,POS
ORD196,03/07/2026,Citrus Fresh,Unisex,3,18000,54000,In-person,Cash
ORD197,15/02/2026,Midnight Musk,Men,2,12000,24000,In-person,POS
ORD198,13/03/2026,Citrus Fresh,Unisex,4,18000,72000,In-person,POS
ORD199,01/05/2026,Vanilla Bliss,Women,4,10000,40000,Instagram,POS
ORD200,19/01/2026,Rose Elixir,Women,4,15000,60000,WhatsApp,POS
